Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,target,predict
0-20 cm,53644594,4.3,4.77,2.37,14.5,,17.0,0.6,14.2,,,,,FI,FI1,FI1D,FI1D3,63.03802827,30.87295593,26-05-18,176,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.58293468994406,3.241205087538962
0-20 cm,53744506,4.1,4.65,4.66,28.8,,10.4,1.5,28.5,,,,,FI,FI1,FI1D,FI1D3,62.2592104,30.52627222,29-06-18,99,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,4.08281617221584,3.820228022894264
0-20 cm,37682906,7.0,7.47,21.5,16.7,3.0,45.5,1.5,200.0,,,,,FR,FR1,FR10,FR108,49.01094905,2.427599653,13-08-18,128,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.12765835062832,4.12398936385485
0-20 cm,36442800,5.8,6.2,17.53,17.4,,45.6,1.8,125.4,,,,,FR,FRB,FRB0,FRB05,47.93851513,0.917572322,22-05-18,246,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens),3.21590844837924,3.6992771296830536
0-20 cm,37242640,7.3,7.53,24.38,36.7,184.0,63.7,4.2,822.3,,,,,FR,FRB,FRB0,FRB01,46.59082362,2.201285013,09-10-18,284,B35,U111,Cropland,Other fibre and oleaginous crops,Agriculture (excluding fallow land and kitchen gardens),3.05849165950862,3.450872093835428
0-20 cm,37362642,6.4,7.06,26.49,14.6,3.0,54.8,1.6,124.9,,,1.9,4.0,FR,FRB,FRB0,FRB01,46.61994482,2.354481867,09-10-18,300,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),3.22277473122488,3.7981690069409595
0-20 cm,37622758,6.0,6.46,12.01,18.2,,68.8,1.9,140.8,,,,,FR,FRB,FRB0,FRB06,47.6818123,2.545135409,21-08-18,203,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),4.4685651327932,4.190644863119594
0-10 cm,40102842,6.6,6.9,27.1,98.9,10.0,13.9,5.8,629.3,,,,,FR,FRF,FRF3,FRF32,48.61130223,5.781381382,01-07-18,378,C10,U120,Woodland,Broadleaved woodland,Forestry,3.05126620328669,3.1772222684165365
0-20 cm,38942726,6.2,6.68,8.9,11.0,1.0,22.7,1.4,111.0,,,,,FR,FRC,FRC1,FRC11,47.5003427,4.330128052,08-08-18,314,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),2.60316364812394,3.594801644151602
0-20 cm,39082708,5.9,6.35,9.53,31.8,,10.0,3.2,155.3,,,0.9,1.9,FR,FRC,FRC1,FRC11,47.34832101,4.532502585,07-08-18,553,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens),3.73506108407948,3.5791829398338186
0-20 cm,40602702,5.5,6.04,14.1,40.4,1.0,11.1,3.1,192.0,,,,,FR,FRC,FRC2,FRC21,47.37680036,6.545020118,23-07-18,485,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.93034310839714,3.7357883998802994
0-20 cm,34862944,6.3,6.94,13.96,42.9,5.0,12.5,4.5,74.8,,,,,FR,FRD,FRD1,FRD12,49.02218739,-1.466599188,15-05-18,119,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.42309577981859,3.9053670249533896
0-20 cm,36662908,6.3,6.72,8.48,11.4,,29.4,1.2,167.9,,,,,FR,FRD,FRD2,FRD21,48.92598184,1.039010948,10-07-18,201,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.24285662321004,3.837262408353267
0-20 cm,37923106,5.7,5.81,60.25,16.1,,83.1,1.9,331.2,,,,,FR,FRE,FRE1,FRE11,50.82053194,2.478021083,24-06-18,84,B21,U111,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens),2.55784180756258,3.2250538943555718
0-20 cm,39023026,3.8,4.28,9.11,26.0,,16.0,2.3,67.9,,,,,FR,FRE,FRE1,FRE11,50.19506998,4.125376912,23-07-18,277,C10,U120,Woodland,Broadleaved woodland,Forestry,3.26070986888878,3.447849880394194
0-20 cm,41062870,5.5,5.76,13.94,43.5,,23.7,4.7,131.5,,,,,FR,FRF,FRF1,FRF11,48.90472178,7.067307164,22-05-18,274,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.21179491228052,3.469333286189478
0-20 cm,38982814,7.2,7.49,19.09,10.7,4.0,61.0,1.3,254.8,,,0.4,1.7,FR,FRF,FRF2,FRF22,48.29232187,4.295477636,16-07-18,186,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.06598574558519,4.198604001426271
0-20 cm,36142792,6.8,7.17,15.57,11.2,3.0,48.3,1.3,209.0,,,0.4,1.1,FR,FRG,FRG0,FRG04,47.83336419,0.532226349,11-09-18,186,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),3.44550916050287,3.705081474496956
0-20 cm,36282804,6.5,6.87,10.79,12.4,,24.0,1.3,158.4,,,2.0,2.0,FR,FRG,FRG0,FRG04,47.95631663,0.698360914,11-09-18,214,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.92786681233935,4.061859079841454
0-20 cm,32682930,6.0,6.26,15.93,35.4,1.0,57.8,4.0,272.7,,,,,FR,FRH,FRH0,FRH02,48.55592991,-4.363105188,06-06-18,98,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),4.08511870885845,3.74632034852989
0-20 cm,32782906,6.0,6.15,15.07,26.8,,62.4,3.4,168.9,,,2.7,7.2,FR,FRH,FRH0,FRH02,48.36196835,-4.168964753,13-08-18,136,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),2.20853871212305,3.2220116438592767
0-20 cm,33622846,6.0,6.42,25.46,31.0,,120.5,3.4,605.4,,,1.1,5.0,FR,FRH,FRH0,FRH04,47.97055214,-2.911898108,20-08-18,137,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),2.85761328863568,3.3413157959099875
0-20 cm,34762834,4.7,5.07,5.6,21.3,,30.1,2.7,70.0,,,,,FR,FRH,FRH0,FRH03,48.03231507,-1.375893394,04-09-18,111,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),3.28383162982272,3.7678232981880453
0-20 cm,36302512,4.2,4.9,5.95,50.6,,15.7,3.6,107.9,,,,,FR,FRI,FRI1,FRI11,45.35150457,1.17231289,26-06-18,349,C10,U120,Woodland,Broadleaved woodland,Forestry,4.03167662414022,3.7820457967280663
0-20 cm,35922588,5.2,5.81,3.97,17.3,,-1.0,1.9,65.2,,,,,FR,FRI,FRI3,FRI31,45.98852774,0.574130333,01-08-18,258,C10,U120,Woodland,Broadleaved woodland,Forestry,3.66668290502841,3.8433276387689745
0-20 cm,37682420,5.2,5.57,14.64,127.9,2.0,15.4,11.2,170.2,,,,,FR,FRJ,FRJ1,FRJ14,44.65888437,3.029480397,30-05-18,1269,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),2.35024241658367,2.997106113348157
0-20 cm,38282398,4.0,4.55,5.8,51.1,,11.7,3.9,84.2,,,,,FR,FRJ,FRJ1,FRJ14,44.50897017,3.804393544,26-06-18,1363,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1.33672067761705,2.8021276209726036
0-20 cm,38562344,7.2,7.95,15.72,16.2,300.0,-1.0,1.8,160.2,,,,,FR,FRJ,FRJ1,FRJ12,44.04394582,4.204687793,12-06-18,209,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),3.49229561770402,3.669629746232271
0-20 cm,37202358,4.6,5.29,7.15,36.7,,10.2,3.5,246.2,,,,,FR,FRJ,FRJ2,FRJ22,44.06093832,2.501758513,15-08-18,528,C10,U120,Woodland,Broadleaved woodland,Forestry,3.85976023198117,3.554606187885563
0-20 cm,37282438,4.0,4.66,7.68,74.8,,-1.0,3.6,198.0,,,,,FR,FRK,FRK1,FRK12,44.78544972,2.506517258,30-07-18,750,C10,U120,Woodland,Broadleaved woodland,Forestry,3.78756665030351,3.720712094810054
0-20 cm,39422470,4.1,4.9,5.48,35.1,,-1.0,2.0,88.6,,,,,FR,FRK,FRK2,FRK23,45.23177235,5.177683301,31-07-18,586,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.02334862951001,3.5727143766323852
0-20 cm,40642274,4.6,5.43,4.58,21.5,,-1.0,1.4,72.1,,,,,FR,FRL,FRL0,FRL05,43.52576197,6.828074162,16-07-18,259,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,3.24007290267438,3.313278521073161
0-20 cm,47361656,6.6,7.13,18.54,14.6,3.0,-1.0,1.7,371.2,,,,,IT,ITG,ITG1,ITG13,37.86834532,14.68522597,01-07-18,1271,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.29265619461601,3.6547377357677315
0-20 cm,43742350,6.6,7.0,34.2,95.6,53.0,12.6,5.7,281.8,,,,,IT,ITH,ITH5,ITH54,44.25825215,10.66227597,03-07-18,1090,C10,U120,Woodland,Broadleaved woodland,Forestry,4.49144585168869,3.8275897629932025
0-20 cm,45762134,7.0,7.6,16.75,15.5,20.0,-1.0,1.9,80.9,,,,,IT,ITI,ITI4,ITI42,42.26374329,13.08101475,18-07-18,739,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),2.91086809109639,3.6626545135732598
0-20 cm,51103642,3.2,3.91,11.56,117.7,,23.4,5.3,97.1,,,,,LT,LT0,LT02,LT027,55.26601836,22.47820792,17-09-18,34,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.97603730570445,3.117435918753597
0-20 cm,51903592,3.6,4.2,4.95,23.9,,42.4,1.4,28.3,,,,,LT,LT0,LT02,LT024,54.69597203,23.56594086,10-09-18,77,C23,U120,Woodland,Other coniferous woodland,Forestry,3.70720495516743,3.7611362109058044
0-20 cm,50263838,4.2,4.68,26.6,157.4,,20.5,9.7,66.1,,,,,LV,LV0,LV00,LV003,57.12513129,21.68759086,22-05-18,29,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,2.96256086514128,3.2128976665796642
0-20 cm,52383854,4.4,5.02,6.0,24.0,,-1.0,1.6,40.1,,,,,LV,LV0,LV00,LV007,56.91042378,25.16994548,11-09-18,110,C33,U120,Woodland,Other mixed woodland,Forestry,3.75558416130974,3.7772448305000346
0-20 cm,53403912,3.6,4.07,7.26,33.0,,15.5,1.7,39.5,,,,,LV,LV0,LV00,LV008,57.21175223,27.03186979,27-08-18,118,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.84320756632893,3.129649454520157
0-20 cm,40783218,3.7,4.3,8.17,52.1,,126.6,3.9,41.6,,,,,NL,NL2,NL22,NL225,52.0188295,6.458655315,24-05-18,16,C10,U361,Woodland,Broadleaved woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)",4.51231885152371,4.074496004640402
0-20 cm,48883246,4.0,4.32,9.03,10.3,,84.0,1.0,24.9,,,,,PL,PL4,PL41,PL414,52.03350044,18.28268847,06-08-18,158,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),4.40389875936218,4.32815036845725
0-20 cm,48903214,4.6,5.3,10.08,10.2,,76.2,1.1,141.3,,,0.6,1.7,PL,PL4,PL41,PL416,51.74600204,18.25889174,13-08-18,161,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.21345250294234,4.281798715924276
0-20 cm,46503324,4.7,5.43,5.84,6.7,1.0,60.7,0.7,77.5,,,0.7,2.0,PL,PL4,PL42,PL427,52.9248318,14.89596423,04-06-18,122,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.50001502602943,4.403687669660836
0-20 cm,46903344,3.9,4.06,8.75,5.9,,126.0,0.8,22.1,,,1.6,2.8,PL,PL4,PL42,PL427,53.07829199,15.51194482,11-09-18,119,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),3.29988607542329,3.600924435820626
0-20 cm,46663262,3.8,4.31,6.8,22.4,,21.8,1.2,25.1,,,,,PL,PL4,PL43,PL431,52.35932895,15.06876574,06-09-18,173,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,4.03635544608229,3.8098509626153
0-20 cm,48743134,4.2,4.6,13.5,10.8,,123.8,1.2,109.7,,,,,PL,PL5,PL52,PL523,51.04790265,17.90349556,28-06-18,222,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),4.23012505708873,4.166823012281625
0-20 cm,48903376,6.8,7.23,17.41,6.3,1.0,76.3,0.9,197.7,,,,,PL,PL6,PL61,PL613,53.19066428,18.53485692,30-07-18,123,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.5130787207722,4.457032646695819
0-20 cm,49483302,5.4,6.07,5.97,8.1,,62.6,0.9,116.4,,,,,PL,PL6,PL61,PL619,52.46775432,19.25472929,06-09-18,157,B22,U111,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),4.00352248728197,3.8887928601648185
0-20 cm,49203450,7.1,7.43,72.2,115.1,178.0,43.1,13.4,108.4,,,,,PL,PL6,PL63,PL638,53.81717016,19.12117086,27-07-18,108,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),4.20534638893607,4.033301210477465
0-20 cm,49343216,3.6,3.76,6.35,9.9,,73.6,0.9,22.2,,,,,PL,PL7,PL71,PL714,51.71741881,18.89544604,07-08-18,185,C22,U111,Woodland,Pine dominated coniferous woodland,Agriculture (excluding fallow land and kitchen gardens),3.30452733146576,3.272197989332857
0-20 cm,49443178,3.9,4.12,9.72,13.0,,40.7,1.3,40.2,,,,,PL,PL7,PL71,PL713,51.36784634,18.971868,13-08-18,206,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),3.44769384015092,3.8410730115310763
0-20 cm,49523284,5.4,5.85,15.42,9.4,,76.1,1.2,151.5,,,0.4,0.9,PL,PL7,PL71,PL715,52.30293927,19.27933663,06-09-18,161,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.98703060100049,4.134712526755206
0-20 cm,49963164,4.9,5.43,10.22,8.4,,41.3,1.0,79.5,,,,,PL,PL7,PL71,PL713,51.18362946,19.68647835,05-06-18,265,B54,U111,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens),3.99174987486506,4.0342445314813835
0-20 cm,50063158,5.0,5.55,10.79,11.6,,50.2,1.1,87.9,,,,,PL,PL7,PL71,PL713,51.11828485,19.81696245,13-08-18,268,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.36624564290862,4.297856263161256
0-20 cm,51343172,5.7,5.97,16.06,10.1,,58.9,1.0,34.9,,,,,PL,PL7,PL72,PL722,51.07402683,21.65683465,19-05-18,224,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),4.06561870597281,4.189036727596095
0-20 cm,51503186,3.9,4.56,5.43,8.2,,55.7,0.6,30.6,,,,,PL,PL8,PL81,PL815,51.17486869,21.91488357,19-05-18,170,C33,U120,Woodland,Other mixed woodland,Forestry,4.33415418407206,4.187675652706369
0-20 cm,51443008,4.8,5.42,9.93,23.7,,10.4,2.9,226.1,,,,,PL,PL8,PL82,PL821,49.60651056,21.43754089,29-05-18,362,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.04628524942225,3.584896569193854
0-20 cm,51823018,5.1,5.65,16.89,18.9,,26.9,2.1,276.2,,,,,PL,PL8,PL82,PL821,49.64083553,21.97955866,10-09-18,420,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.00063176483716,3.884583334486998
0-20 cm,51863338,4.5,4.91,13.77,10.9,,71.3,1.0,110.0,,,0.5,1.2,PL,PL8,PL84,PL842,52.46371303,22.8031206,05-10-18,195,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.97025801241969,4.166130902101877
0-20 cm,50863206,4.6,4.92,15.74,11.5,,17.0,1.3,66.5,,,,,PL,PL9,PL92,PL921,51.44223025,21.05140219,25-05-18,216,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.61213826110907,4.3302950741189195
0-20 cm,27742232,4.1,4.93,5.17,68.4,,-1.0,3.4,43.9,60.2,,,,PT,PT1,PT11,PT112,41.45714479,-8.655287129,12-07-18,191,C10,U120,Woodland,Broadleaved woodland,Forestry,4.20576374076464,3.9438128646445203
0-20 cm,28602222,6.4,6.89,21.0,21.0,6.0,17.4,1.3,128.3,28.7,,,,PT,PT1,PT11,PT11B,41.55520217,-7.624298224,31-07-18,739,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use,3.67255211347019,3.8042599243158413
0-20 cm,26942016,3.9,4.49,5.89,15.0,,-1.0,1.2,38.2,,,,,PT,PT1,PT16,PT16B,39.39184536,-8.998901767,16-08-18,242,C10,U120,Woodland,Broadleaved woodland,Forestry,3.44934678396974,3.3636257080522394
0-20 cm,28522106,4.2,4.53,17.68,78.2,,20.9,5.8,63.5,180.5,,,,PT,PT1,PT16,PT16J,40.5212293,-7.425186888,09-07-18,1304,C10,U120,Woodland,Broadleaved woodland,Forestry,3.77892943614845,3.646862057746098
0-20 cm,28542018,5.0,5.87,2.78,7.9,,-1.0,0.7,33.3,7.5,,,,PT,PT1,PT16,PT16H,39.75207571,-7.188806116,07-08-18,301,C10,U120,Woodland,Broadleaved woodland,Forestry,4.43928670499751,4.192756366030988
0-20 cm,27101814,5.4,5.81,4.61,20.7,,-1.0,1.8,81.8,12.9,,,,PT,PT1,PT18,PT184,37.65667873,-8.314985341,23-07-18,244,C10,U120,Woodland,Broadleaved woodland,Forestry,4.72630041386459,4.046471715949726
0-20 cm,27181846,5.7,6.3,8.15,5.1,,15.3,0.5,94.9,3.5,,1.5,0.8,PT,PT1,PT18,PT181,37.95506483,-8.303628792,02-07-18,117,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),4.16975843293039,4.153423633506155
0-20 cm,27881848,7.3,8.14,16.57,9.0,147.0,-1.0,0.7,174.6,,,,,PT,PT1,PT18,PT184,38.12060219,-7.53140522,30-07-18,222,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),3.91416633098134,4.023133277374728
0-20 cm,55602682,5.5,6.07,9.06,15.2,,41.8,1.6,244.8,,,1.6,1.1,RO,RO1,RO12,RO123,46.03454317,26.12904738,30-10-18,568,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.67843671376145,4.282432969487266
0-20 cm,54662566,5.2,5.87,8.52,28.3,,-1.0,2.6,362.7,,,,,RO,RO3,RO31,RO311,45.18892659,24.65330631,25-10-18,533,C10,U120,Woodland,Broadleaved woodland,Forestry,4.81319758935183,4.258228787535905
0-20 cm,55382538,4.6,5.15,5.19,17.3,,4.8,1.6,100.1,,,,,RO,RO3,RO31,RO313,44.81198742,25.48282891,07-09-18,239,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.65925601577891,4.400286692798358
0-20 cm,55942572,6.5,7.37,29.71,24.4,,12.0,2.3,115.5,,,,,RO,RO3,RO31,RO316,45.00381934,26.26496264,27-08-18,215,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.77004919638683,4.436163665911393
0-20 cm,54262530,4.9,5.96,9.82,11.3,,18.2,1.4,290.7,,,0.7,1.2,RO,RO4,RO41,RO415,44.94037128,24.07015098,30-11-18,300,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),4.37873299201872,4.2943679048622245
0-20 cm,46463950,4.4,4.99,9.98,83.5,,16.6,4.4,100.9,,,,,SE,SE1,SE12,SE123,58.53670859,15.57672649,19-06-18,47,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.60829226585471,3.5672543784295456
0-20 cm,46683878,3.5,4.18,8.94,79.8,,17.6,3.2,114.7,,,,,SE,SE1,SE12,SE123,57.87586115,15.84721313,13-08-18,79,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.04350337099832,3.7472447887714306
0-20 cm,47044134,3.5,4.4,9.81,89.4,,36.8,4.4,97.7,,,,,SE,SE1,SE12,SE121,60.13895763,16.88700529,23-05-18,71,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.51607009560789,3.43867180377414
0-20 cm,47064096,3.0,3.79,12.32,192.9,,21.6,5.3,132.3,,,,,SE,SE1,SE12,SE121,59.79714522,16.85331895,29-05-18,57,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.22158776466298,3.3755362059219878
0-20 cm,47103916,3.7,4.3,10.54,79.9,,17.5,3.3,139.4,,,,,SE,SE1,SE12,SE123,58.18312332,16.61287119,06-08-18,7,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.40922257143542,3.4324048343830915
0-20 cm,47884132,3.4,4.21,14.01,266.8,,27.0,10.1,218.0,,,,,SE,SE1,SE12,SE121,60.03983972,18.3802633,06-06-18,16,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.11157468823687,2.9910701655137144
0-20 cm,46843766,3.1,4.03,16.79,192.9,,46.0,6.6,175.9,,,,,SE,SE2,SE21,SE213,56.86111275,15.95305881,15-08-18,58,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.78284039536635,3.4809217346740913
0-20 cm,46923874,4.5,5.17,9.03,37.5,,15.2,2.2,100.4,,,,,SE,SE2,SE21,SE213,57.82180732,16.24356947,23-07-18,22,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,4.12086204680654,3.952547850976951
0-20 cm,45123664,4.6,5.0,24.06,22.1,,45.5,2.1,48.1,,,,,SE,SE2,SE22,SE224,56.04329814,13.06361708,27-05-18,69,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens),4.33360603573912,4.094049326484098
0-20 cm,46383708,3.4,4.1,21.1,319.8,,36.6,12.7,130.5,,,,,SE,SE2,SE22,SE221,56.37349438,15.13123365,11-07-18,73,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,4.25323999508752,3.9038602844260915
0-20 cm,44083936,3.4,4.15,20.2,142.4,,25.9,7.3,111.4,,,,,SE,SE2,SE23,SE232,58.5170271,11.49037055,29-08-18,76,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.01114117361931,3.1086203484570225
0-20 cm,44383872,3.3,4.23,30.2,275.4,,41.6,11.5,325.8,,,,,SE,SE2,SE23,SE232,57.93515916,11.97244825,14-08-18,120,C23,U120,Woodland,Other coniferous woodland,Forestry,4.14242768706034,3.631208989577179
0-20 cm,45203698,2.9,3.88,15.55,298.0,,20.5,13.1,172.3,,,,,SE,SE2,SE23,SE231,56.34540214,13.21690869,22-10-18,34,C10,U120,Woodland,Broadleaved woodland,Forestry,3.36545101510738,3.4714109158007407
0-20 cm,45323868,3.8,4.63,12.98,85.9,1.0,29.9,5.2,94.9,,,,,SE,SE2,SE23,SE232,57.86655256,13.55167679,18-09-18,214,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.42553903954498,2.8123020206641116
0-20 cm,45403766,3.1,3.98,11.11,88.3,,35.4,3.5,101.2,,,,,SE,SE2,SE23,SE231,56.94729164,13.59660746,11-07-18,161,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,2.84414273224164,3.2807737675096496
0-20 cm,44444080,3.8,4.32,12.26,62.4,,14.3,3.8,98.4,,,,,SE,SE3,SE31,SE311,59.80354236,12.18632322,18-10-18,120,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.85898500487938,3.602767108688386
0-20 cm,44784322,3.8,4.45,8.33,99.6,,-1.0,3.4,105.3,,,,,SE,SE3,SE31,SE312,61.9694544,12.98244724,20-08-18,8888,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.81110255997449,3.884771561722073
0-20 cm,44844134,3.8,4.69,4.99,27.3,,20.3,1.4,36.9,,,,,SE,SE3,SE31,SE311,60.27612864,12.93857536,30-09-18,355,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.03047200457286,3.33134793925601
0-20 cm,44884094,3.4,4.43,7.25,36.8,,27.7,1.6,86.7,,,,,SE,SE3,SE31,SE311,59.9150203,12.97863858,30-09-18,229,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.6517480901977,3.5964671758735576
0-20 cm,45184078,3.4,4.3,2.5,9.4,,-1.0,0.5,18.1,,,,,SE,SE3,SE31,SE311,59.75891108,13.49810873,07-10-18,184,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.02517315574575,3.0274311685301014
0-20 cm,45284100,3.6,4.25,2.72,10.6,,-1.0,0.7,13.8,,,,,SE,SE3,SE31,SE311,59.9520172,13.6968032,15-10-18,266,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.7591298770775,2.9012188579629967
0-20 cm,45884278,3.6,4.35,9.22,106.9,,13.0,3.0,162.7,,,,,SE,SE3,SE31,SE313,61.5177605,15.00321645,15-10-18,428,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,4.04141469590305,3.885712622760413
0-20 cm,45904216,3.7,4.6,7.82,94.5,,14.5,3.8,87.6,,,,,SE,SE3,SE31,SE312,60.95982524,14.95407017,23-09-18,206,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.20621281586234,3.3841662742722183
0-20 cm,46064206,4.9,5.63,8.56,64.4,,-1.0,3.2,57.1,,,,,SE,SE3,SE31,SE312,60.85970165,15.23324849,23-09-18,316,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.25476995367937,4.038029073733814
0-20 cm,46284248,3.2,4.08,15.31,174.6,,27.1,5.5,245.0,,,,,SE,SE3,SE31,SE313,61.22122634,15.70146814,13-09-18,252,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1.44440545700354,2.2674142160528206
0-20 cm,46604310,3.9,4.66,45.6,406.9,,34.4,19.6,332.5,,,,,SE,SE3,SE31,SE313,61.75251011,16.40363949,18-09-18,171,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.79463767637473,3.5026310650786256
0-20 cm,46664162,4.1,4.63,10.82,39.5,,11.4,2.7,101.3,,,,,SE,SE3,SE31,SE312,60.42136058,16.25425028,01-10-18,115,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.6299601775014,3.6640370867206453
0-20 cm,46784220,4.4,4.75,34.5,66.1,,14.6,3.2,100.0,,,,,SE,SE3,SE31,SE313,60.93118018,16.57377856,01-10-18,142,C10,U120,Woodland,Broadleaved woodland,Forestry,4.05195723776683,3.749034097376813
0-20 cm,47144152,4.3,4.88,10.14,92.2,,19.1,5.7,161.2,,,,,SE,SE3,SE31,SE313,60.29116309,17.09978895,10-09-18,80,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,4.03220907149725,3.2630854486180474
0-20 cm,45124486,4.4,4.96,10.62,59.6,,-1.0,3.0,60.6,,,,,SE,SE3,SE32,SE322,63.43082131,13.80812825,23-07-18,450,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.99340909172611,3.940458461394429
