Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0-20 cm,33601984,7.6,8.2,13.67,9.7,638,< LOD,1.1,321.6,,,,,ES,ES2,ES24,ES242,40.30633938,-1.295163567,26-05-18,1251,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33601998,7.7,8.17,27.77,17.7,376,22.5,1.8,361.2,,,,,ES,ES2,ES24,ES242,40.4314549,-1.317542415,02-06-18,1166,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33602008,7.6,8.03,22.1,20.1,524,36.5,2.1,264.7,,,,,ES,ES2,ES24,ES242,40.5208082,-1.333601637,13-05-18,1100,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33602016,7.5,8.32,12.65,14.8,308,19.1,0.9,253.7,,,,,ES,ES2,ES24,ES242,40.5922819,-1.346493862,13-05-18,1060,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33602034,7.4,7.98,19.38,24.2,353,53.3,2.1,489.9,,,,,ES,ES2,ES24,ES242,40.75306881,-1.375648037,21-07-18,1015,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33602044,7.6,8.34,17.08,26.2,832,12.6,1.9,92.1,,,,,ES,ES2,ES24,ES242,40.84237762,-1.391933106,22-07-18,1066,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,33602062,6.5,6.56,8.07,5,1,13.3,0.9,54,,,,,ES,ES2,ES24,ES242,41.00310254,-1.421406464,14-07-18,1121,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33602136,6.8,7.34,7.23,6.8,NA,< LOD,0.9,167.6,,,,,ES,ES2,ES24,ES243,41.66344662,-1.544778506,17-07-18,935,B74,U111,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33621986,7.7,8.14,20.8,16,457,15.3,1.5,182.8,,,,,ES,ES2,ES24,ES242,40.32689953,-1.275119805,27-05-18,1190,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33622004,7.5,8.2,12.53,23,683,< LOD,1.1,137.1,,,,,ES,ES2,ES24,ES242,40.48776127,-1.30388023,13-05-18,1066,D20,U111,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33622018,7.7,8.09,88.29,45.8,54,13.7,2.3,450.3,,,,,ES,ES2,ES24,ES242,40.61284818,-1.326388373,15-05-18,1029,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33622104,6.8,7.61,19.43,18.4,1,57.2,1.9,425.9,,,,,ES,ES2,ES24,ES243,41.38071156,-1.467375238,24-07-18,791,B72,U111,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33641988,7.4,7.85,21,41.3,582,< LOD,3.2,245.4,,,,,ES,ES2,ES24,ES242,40.34745543,-1.255064178,04-06-18,1158,C23,U420,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
0-20 cm,33642006,7.7,7.82,379.66,26.2,603,16,3.2,473.8,,,,,ES,ES2,ES24,ES242,40.5083206,-1.283789868,01-06-18,1041,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33642010,7.7,8.29,27.68,10.7,245,< LOD,1.3,299.4,,,,,ES,ES2,ES24,ES242,40.54406296,-1.290200573,13-05-18,1045,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33642016,7.7,8.08,28.43,24.1,270,29.2,2.6,250.1,,,,,ES,ES2,ES24,ES242,40.5976728,-1.299835278,22-06-18,1033,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33642028,7.6,8.2,18.39,9.3,425,24.2,1.5,437.7,,,,,ES,ES2,ES24,ES242,40.70487915,-1.31917208,15-05-18,1034,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33642042,7.4,7.92,23.1,23.7,332,31.5,2,200.9,,,0.8,0.7,ES,ES2,ES24,ES242,40.82993085,-1.341845886,22-06-18,981,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33642046,7.6,8.13,20.69,9.4,233,40.1,1.2,270.4,,,,,ES,ES2,ES24,ES242,40.86565549,-1.348346825,22-06-18,975,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33642060,6.4,6.89,5.52,21,5,< LOD,2.5,238.1,,,,,ES,ES2,ES24,ES242,40.99067633,-1.37118004,14-07-18,1056,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,33642142,7.6,8.22,15.45,9.1,406,13.3,1,239.1,,,,,ES,ES2,ES24,ES243,41.7224643,-1.507458802,26-07-18,629,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33661990,7.5,8.04,25.96,8.8,107,11,1.5,254.5,,,0.9,0.9,ES,ES2,ES24,ES242,40.3680071,-1.23499667,04-06-18,1075,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33662002,7.7,8.23,18.6,7.8,369,< LOD,0.9,257.1,,,1.3,0.6,ES,ES2,ES24,ES242,40.47525728,-1.254101709,14-05-18,1058,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33662020,7.6,8.16,20.8,21.3,310,21.6,1.5,241,,,,,ES,ES2,ES24,ES242,40.63609916,-1.282926203,15-05-18,1081,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33662026,7.5,8.04,18.9,21.8,458,35.2,2.1,202,,,1,0.5,ES,ES2,ES24,ES242,40.68970425,-1.292579164,22-06-18,1097,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33662110,7.3,7.64,28.3,28.9,627,82,2.8,524.3,,,,,ES,ES2,ES24,ES243,41.43971431,-1.430117461,24-07-18,626,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33662144,7.6,8.08,15.36,13,181,16.1,1.1,274.5,,,,,ES,ES2,ES24,ES243,41.74304779,-1.487087881,26-07-18,543,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33681974,7.5,8.09,24.48,16.3,383,< LOD,1.8,298.3,,,0.4,0.7,ES,ES2,ES24,ES242,40.22764238,-1.186459983,12-05-18,868,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33681980,7.4,8.02,22.15,27.2,631,< LOD,2.7,184.9,,,,,ES,ES2,ES24,ES242,40.28128423,-1.195923782,25-05-18,1136,D10,U111,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33681992,7.8,8.27,18.17,6.8,178,10.5,0.8,97.5,,,,,ES,ES2,ES24,ES242,40.38855452,-1.214917268,02-06-18,1083,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33682010,7.8,8.32,18.41,7.1,389,11.4,0.7,122.3,,,,,ES,ES2,ES24,ES242,40.54942652,-1.24357325,01-06-18,1091,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33682016,7.7,8.06,34.73,13.9,413,20.2,1.1,135.1,,,,,ES,ES2,ES24,ES242,40.60304164,-1.253169722,01-06-18,1098,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33682024,7.6,8.07,16.47,29.4,269,12.2,2.2,222.9,,,1.2,0.9,ES,ES2,ES24,ES242,40.67452157,-1.265999805,22-06-18,1177,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33682052,7.5,8.1,13.51,5.1,16,< LOD,0.8,218.9,,,,,ES,ES2,ES24,ES242,40.92463957,-1.31122049,23-06-18,944,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33682068,6.9,7.11,14.64,8.1,5,21.5,0.9,94.2,,,0.3,1.1,ES,ES2,ES24,ES243,41.06752121,-1.337283174,10-07-18,985,B73,U111,Cropland,Cherry fruit,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33682096,6.9,7.26,22.94,15.1,4,97.1,1.7,475,,,,,ES,ES2,ES24,ES243,41.31748945,-1.383286842,12-07-18,730,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33702020,7.3,7.79,20.8,19.8,519,< LOD,2.4,154.1,,,,,ES,ES2,ES24,ES242,40.64146049,-1.236231627,01-06-18,1227,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,33702092,7.2,7.39,55.17,7.3,NA,< LOD,1,199.3,,,,,ES,ES2,ES24,ES243,41.28449554,-1.353102606,12-07-18,883,B74,U415,Cropland,Nuts trees,Other abandoned areas
0-20 cm,33702110,7.5,7.98,20.73,27.7,205,65.1,2.7,722.2,,,,,ES,ES2,ES24,ES243,41.44515636,-1.382837992,12-07-18,496,E20,U420,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
0-20 cm,33702120,7.4,7.82,22.64,28.3,544,94.1,3.2,346.9,,,,,ES,ES2,ES24,ES243,41.5343956,-1.399448713,17-07-18,439,B75,U111,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33702164,7.5,7.65,46.56,26.3,323,29,2,391.9,,,,,ES,ES2,ES24,ES243,41.92690679,-1.473318595,28-09-18,331,B43,U111,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33721992,7.7,8.18,20.2,10.8,172,15.5,1,131.1,,,,,ES,ES2,ES24,ES242,40.39388034,-1.168397292,31-05-18,1041,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33722042,7.5,7.99,21.4,20.3,332,45.6,2.1,354.7,,,,,ES,ES2,ES24,ES242,40.84069243,-1.248174397,30-06-18,1083,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33722064,7.5,8.07,12.61,14.4,33,28.9,1.7,542.2,,,,,ES,ES2,ES24,ES242,41.03719303,-1.283770592,24-06-18,1082,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33722078,7.5,7.9,16.5,10,51,26.2,1.1,441.9,,,,,ES,ES2,ES24,ES243,41.16220834,-1.306582371,10-07-18,959,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33722082,7.4,7.55,67.8,14.3,437,111.8,1.6,721.3,,,,,ES,ES2,ES24,ES243,41.19792265,-1.313122991,14-07-18,925,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33722122,7.5,7.99,34.8,26.2,544,122.5,2.2,888.6,,,,,ES,ES2,ES24,ES243,41.55496011,-1.379096458,17-07-18,450,E20,U420,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
0-20 cm,33722150,7.5,7.52,239,11.4,313,19.1,1.5,218.9,,,,,ES,ES2,ES24,ES243,41.80477276,-1.425899475,30-07-18,447,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33722162,7.6,7.72,62.74,15.2,284,84.6,1.6,773,,,,,ES,ES2,ES24,ES243,41.9118069,-1.446116866,28-09-18,321,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33741972,7.6,8.04,25.2,19.1,557,11.5,2.1,236.3,,,,,ES,ES2,ES24,ES242,40.2177153,-1.113716865,23-05-18,1189,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33741998,7.7,8.18,27.82,17.6,537,33.3,2.2,420.2,,,,,ES,ES2,ES24,ES242,40.45017128,-1.154607552,31-05-18,1211,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33742056,7.6,8.12,18.93,24.5,374,12.5,2.9,257.5,,,,,ES,ES2,ES24,ES242,40.96842783,-1.247323651,23-06-18,1123,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
0-20 cm,33742070,7.5,8.28,15.59,9.9,96,22.2,1.1,271.7,,,,,ES,ES2,ES24,ES243,41.09346292,-1.270018767,10-07-18,1038,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33742074,7.4,8.08,17.88,12.7,39,24.3,1.6,222.8,,,,,ES,ES2,ES24,ES243,41.12918289,-1.276525914,10-07-18,1000,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33742110,7.3,7.78,30.1,28.4,181,99.7,2.9,427.3,,,,,ES,ES2,ES24,ES243,41.45057602,-1.335551189,12-07-18,451,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33742128,7.6,8.09,13.02,10.1,384,11.7,1.1,132.4,,,,,ES,ES2,ES24,ES243,41.61121447,-1.365378186,13-07-18,432,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33742142,7.6,8,19.27,12.9,469,24.2,1.5,569.9,,,,,ES,ES2,ES24,ES243,41.73612887,-1.388723613,13-07-18,450,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33761994,7.7,8.16,30.86,8.3,460,29.2,1.9,288.3,,,,,ES,ES2,ES24,ES242,40.41706429,-1.125019319,31-05-18,1227,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762000,7.6,8.11,31.88,16.9,503,25.2,2,430.5,,,0.8,0.5,ES,ES2,ES24,ES242,40.47070168,-1.134480429,31-05-18,1179,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762004,7.5,7.93,39.13,16.8,511,31,2.2,584.9,,,0.9,0.6,ES,ES2,ES24,ES242,40.50645749,-1.140800054,03-06-18,1243,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762022,7.4,7.93,17.56,14.2,203,< LOD,1.6,296.7,,,,,ES,ES2,ES24,ES242,40.66733434,-1.169359917,21-06-18,1304,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762054,7.4,7.87,18.73,16.3,452,19.7,1.8,178.8,,,,,ES,ES2,ES24,ES242,40.95324005,-1.220628785,23-06-18,1082,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762084,5.3,5.9,7.12,5.3,NA,16.9,0.8,61.6,,,,,ES,ES2,ES24,ES243,41.22116406,-1.269277841,10-07-18,933,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33762090,6.7,6.78,65.97,32.3,NA,12.3,3.7,379.1,,,,,ES,ES2,ES24,ES243,41.27473587,-1.279076345,12-07-18,852,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,33762094,7.3,7.86,15.68,7.1,7,43,1.1,202.3,,,,,ES,ES2,ES24,ES243,41.31044801,-1.285621493,12-07-18,813,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762144,7.8,7.92,128.3,15.4,243,21,1.3,416.2,,,0.6,1.4,ES,ES2,ES24,ES243,41.75668885,-1.368309875,13-07-18,413,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33762162,7.6,7.78,38.26,19.5,247,47.8,2.2,326.2,,,,,ES,ES2,ES24,ES243,41.91726307,-1.398479047,27-09-18,293,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33781948,7.4,7.53,237,6.9,37,NA,0.5,106.8,,,,,ES,ES2,ES24,ES242,40.00832128,-1.030080024,21-07-18,1230,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,33781984,7.7,8.32,14.93,2.4,299,< LOD,0.5,127.4,,,,,ES,ES2,ES24,ES242,40.33029899,-1.086058857,23-05-18,1013,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33782052,7.5,7.99,21.21,7.4,212,19.9,1.1,264.1,,,,,ES,ES2,ES24,ES242,40.93804447,-1.193947633,23-06-18,1092,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33782056,6.6,7.19,20.05,10.4,1,< LOD,1.2,91.6,,,,,ES,ES2,ES24,ES242,40.97377669,-1.20038329,23-06-18,1207,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33782062,7.2,7.6,13.98,12.9,7,13.8,1.5,232.9,,,0.8,1.6,ES,ES2,ES24,ES242,41.02737139,-1.210055627,25-06-18,1133,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33782070,7.4,8.04,12.68,8.1,53,17.5,1.2,383.9,,,,,ES,ES2,ES24,ES242,41.09882423,-1.222987377,24-06-18,1043,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33782074,7.5,8.13,16.55,14,242,24,1.3,113.1,,,,,ES,ES2,ES24,ES242,41.13454776,-1.229468429,10-07-18,1008,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33782092,7.3,7.55,27.9,13.3,20,15.8,1.7,371.9,,,,,ES,ES2,ES24,ES243,41.29527989,-1.258759034,12-07-18,768,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,33801978,7.7,8.33,16.21,10.5,311,< LOD,0.8,362,,,,,ES,ES2,ES24,ES242,40.27927934,-1.0534516,23-05-18,1117,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33801996,7.6,8.13,17.06,12.7,551,16,1.2,105.5,,,,,ES,ES2,ES24,ES242,40.44022921,-1.081611629,14-06-18,1095,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33802018,7.2,7.98,15.24,12.6,199,10.9,1,187.8,,,1.3,0.8,ES,ES2,ES24,ES242,40.63689174,-1.116296935,21-06-18,1248,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33802032,7.3,7.55,38.5,40.7,26,< LOD,4.5,361.3,,,,,ES,ES2,ES24,ES242,40.76200988,-1.13852405,29-06-18,1360,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,33802036,7.3,7.82,18.75,22.3,148,17.5,2.1,192.7,,,,,ES,ES2,ES24,ES242,40.79775354,-1.144896902,30-06-18,1362,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33802040,7.5,7.94,17.1,13.4,642,26.7,1.7,269.8,,,,,ES,ES2,ES24,ES242,40.83349527,-1.151279679,30-06-18,1315,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33802058,5.3,6.28,5.44,8.7,1,< LOD,1.1,85.7,,,0.4,1.2,ES,ES2,ES24,ES242,40.99430906,-1.180125571,26-06-18,1246,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33802094,7.6,8.07,13.51,4.9,213,10,0.8,171.2,,,,,ES,ES2,ES24,ES243,41.31581965,-1.238429334,12-07-18,703,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33821988,7.6,8.22,15.39,11,573,16.8,1.2,136.6,,,,,ES,ES2,ES24,ES242,40.37133181,-1.0458152,12-06-18,1143,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33822024,7.7,8.25,19.57,8.4,59,10.3,1.3,133.7,,,0.5,0.5,ES,ES2,ES24,ES242,40.69316324,-1.102436691,20-06-18,1247,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33822042,7.5,7.97,22,18.3,507,27.1,2.1,239.1,,,,,ES,ES2,ES24,ES242,40.85401979,-1.131045529,30-06-18,1250,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33822046,7.7,8.38,19.86,11.8,696,14.2,1.4,370.3,,,,,ES,ES2,ES24,ES242,40.88976036,-1.137430311,30-06-18,1065,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33822088,7.1,7.67,8.37,3.3,NA,15.6,0.7,129.6,,,,,ES,ES2,ES24,ES243,41.26492009,-1.205075842,10-07-18,840,E20,U415,Grassland,Grassland without tree/shrub cover,Other abandoned areas
0-20 cm,33822186,7.6,7.67,287.88,9.2,486,< LOD,1.5,178.7,,,0.4,0.3,ES,ES2,ES24,ES243,42.1394781,-1.367325651,22-09-18,404,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33842008,7.7,8.14,21.65,9.1,178,12.9,1,800.9,,,,,ES,ES2,ES24,ES242,40.55278066,-1.053852129,05-06-18,1129,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33842012,7.7,8.31,14.13,4.1,608,< LOD,0.6,178,,,,,ES,ES2,ES24,ES242,40.58853947,-1.060140335,05-06-18,1164,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33842048,7.4,7.91,13.13,12.8,75,13.6,1.3,399.4,,,,,ES,ES2,ES24,ES242,40.9102814,-1.117176029,30-06-18,1132,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33842164,7.6,7.99,34,19.7,449,142.5,2.4,535.9,,,,,ES,ES2,ES24,ES243,41.94595055,-1.306519253,26-09-18,328,E20,U420,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
0-20 cm,33842170,7.5,7.55,374.68,9.7,345,10.6,1.7,324.2,,,,,ES,ES2,ES24,ES243,41.99947649,-1.316550319,22-09-18,389,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33842206,7.6,8.06,28,14.1,405,< LOD,1.7,179.9,,,,,ES,ES2,ES24,ES243,42.32054431,-1.377241234,26-09-18,424,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33861962,7.4,7.6,53.9,103.2,11,12.3,8.1,498,,,,,ES,ES2,ES24,ES242,40.14402238,-0.959054878,08-06-18,1495,C23,U420,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
0-20 cm,33861992,7.6,8.24,14.33,5.8,169,< LOD,0.9,149.5,,,,,ES,ES2,ES24,ES242,40.41234754,-1.005523824,14-06-18,1258,F40,U112,Bareland,Other bare soil,Fallow land
0-20 cm,33862010,7.6,8.19,22.4,8.3,192,12,1.2,686.9,,,,,ES,ES2,ES24,ES242,40.57328972,-1.033665031,05-06-18,1132,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33862028,7.6,8.1,17.34,14.4,248,13.4,1.8,178.1,,,1.4,1.2,ES,ES2,ES24,ES242,40.73419248,-1.062003366,29-06-18,1388,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33862060,6.6,6.68,21,17.7,1,< LOD,1.9,158.3,,,,,ES,ES2,ES24,ES242,41.02014511,-1.112875193,26-06-18,1227,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
0-20 cm,33862160,7.5,8.2,31.5,16.2,336,29.4,2.3,197,,,0.5,1.4,ES,ES2,ES24,ES243,41.91296036,-1.276022644,27-09-18,294,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33862190,7.2,7.59,30.01,20.4,438,18.4,2.7,167.8,,,0.8,0.5,ES,ES2,ES24,ES243,42.18057599,-1.326235878,18-09-18,415,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33881958,7.5,7.91,20.5,34.4,117,< LOD,3.4,397.4,,,,,ES,ES2,ES24,ES242,40.11083907,-0.929732333,08-06-18,1473,C23,U420,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
0-20 cm,33881972,7.5,8.13,23.14,14.2,266,19.2,1.6,268.1,,,,,ES,ES2,ES24,ES242,40.23608405,-0.951273587,10-06-18,1239,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33881990,7.6,8,18.04,17.2,205,< LOD,2,122.5,,,,,ES,ES2,ES24,ES242,40.39707795,-0.979141058,12-06-18,1332,C23,U420,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
0-20 cm,33882026,7.7,8.24,15.38,10,474,18.1,1.3,202.5,,,,,ES,ES2,ES24,ES242,40.71894714,-1.035461941,20-06-18,1298,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33882048,7.4,7.87,19.12,14.2,214,17.6,1.6,396.3,,,0.6,0.7,ES,ES2,ES24,ES242,40.91556771,-1.070269991,27-06-18,1231,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33882074,6.7,6.99,17.53,13.2,4,< LOD,1.3,106,,,,,ES,ES2,ES24,ES242,41.14786249,-1.111793609,07-07-18,1049,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,33882098,7.7,8.44,13.76,6.8,106,< LOD,0.7,128.8,,,,,ES,ES2,ES24,ES243,41.36221685,-1.150499808,07-07-18,676,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33882116,7.6,8.3,16.73,10,157,11.5,1,221,,,,,ES,ES2,ES24,ES243,41.5229378,-1.179769656,10-07-18,509,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33882128,7.7,8.07,45.52,23.8,396,12,2.2,337,,,,,ES,ES2,ES24,ES243,41.63006387,-1.199398372,13-07-18,438,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33882200,7.2,7.73,25.9,16,371,33.1,1.9,129.3,,,0.4,0.5,ES,ES2,ES24,ES243,42.27246692,-1.319146618,21-09-18,453,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33901934,7.3,7.63,19.19,82.3,101,13.2,7.6,778.5,,,,,ES,ES2,ES24,ES242,39.89866328,-0.869979518,21-07-18,1437,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
0-20 cm,33901970,7.3,7.83,22.89,14.6,162,< LOD,1.4,226.6,,,1.2,0.9,ES,ES2,ES24,ES242,40.22079472,-0.924982591,08-06-18,1190,B74,U111,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,33901978,7.6,8.24,15.35,11.3,264,< LOD,1.1,156.2,,,,,ES,ES2,ES24,ES242,40.29235782,-0.937309457,07-06-18,1265,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,33902036,7.4,7.95,21,12.4,369,11.9,1.4,366.9,,,,,ES,ES2,ES24,ES242,40.81095697,-1.027829999,29-06-18,1283,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
